欄位編號	黑	細項	八色鳥	灰喉山椒鳥	小鵪鶉	台灣山鷓鴣	台灣竹雞	藍腹鷴	黑長尾雉	環頸雉	小鸊鷉	小鸊鷉	黃小鷺	栗小鷺	蒼鷺	紫鷺	大白鷺	中白鷺	小白鷺	岩鷺	唐白鷺	黃頭鷺	池鷺	綠簑鷺	夜鷺	麻鷺	黑冠麻鷺	灰腳秧雞	灰胸秧雞	白腹秧雞	緋秧雞	董雞	斑脇秧雞	紅冠水雞	水雉	林三趾鶉	棕三趾鶉	燕鴴	灰林鴿	金背鳩	紅鳩	珠頸斑鳩	長尾鳩	翠翼鳩	綠鳩	紅頭綠鳩	小綠鳩	鷹鵑	四聲杜鵑	北方中杜鵑	噪鵑	褐翅鴉鵑	番鵑	灰喉針尾雨燕	叉尾雨燕	小雨燕	翠鳥	蒼翡翠	斑翡翠	栗喉蜂虎	戴勝	五色鳥	小啄木	大赤啄木	綠啄木	花翅山椒鳥	棕背伯勞	綠畫眉	黃鸝	黃鸝	朱鸝	大卷尾	小卷尾	黑枕藍鶲	紫綬帶	松鴉	台灣藍鵲	樹鵲	星鴉	巨嘴鴉	玉頸鴉	小雲雀	棕沙燕	家燕	洋燕	赤腰燕	東方毛腳燕	赤腹山雀	煤山雀	青背山雀	黃山雀	紅頭山雀	茶腹鳾	鷦鷯	河烏	白環鸚嘴鵯	烏頭翁	白頭翁	紅嘴黑鵯	棕耳鵯	火冠戴菊鳥	台灣鷦眉	棕面鶯	小鶯	深山鶯	台灣叢樹鶯	棕扇尾鶯	黃頭扇尾鶯	斑紋鷦鶯	灰頭鷦鶯	褐頭鷦鶯	褐頭花翼	粉紅鸚嘴	黃羽鸚嘴	冠羽畫眉	綠繡眼	低地繡眼	山紅頭	小彎嘴	大彎嘴	頭烏線	繡眼畫眉	大陸畫眉	台灣畫眉	台灣白喉噪眉	棕噪眉	台灣噪眉	白耳畫眉	黃胸藪眉	紋翼畫眉	紅尾鶲	鵲鴝	黃腹琉璃	小翼鶇	台灣紫嘯鶇	白斑紫嘯鶇	小剪尾	白尾鴝	白眉林鴝	栗背林鴝	黃胸青鶲	鉛色水鶇	藍磯鶇	藍磯鶇	黑鶇(中國)	白頭鶇	八哥	八哥	黑領椋鳥	綠啄花	紅胸啄花	岩鷚	白鶺鴒(白面)	白鶺鴒	褐鷽	灰鷽	台灣朱雀	金翅雀	小桑鳲	山麻雀	麻雀	白腰文鳥	斑文鳥	黑頭文鳥
b8	分布範圍	3年觀察占有面積(Observed Area of occupancy – AOO)--計算方法: 分布點資料，每個分布點代表1km*1km網格，相加所有佔有網格數)(單位:平方公里)																																																																																																																																																																		
b9	分布範圍	3年觀察分布範圍(Observed Extent of occurrence – EOO)--以亞族群為計算基礎(當有亞族群存在時)，後相加所有亞族群分布面積。計算方法: 分布點資料-最小凸多邊形法(單位:平方公里)(每個分布點代表1km*1km網格)																																																																																																																																																																		
b10	分布範圍	3年預測分布範圍(Predicted EOO)--計算方法: 由分布點資料進行分布預測模式，預測出現1km*1km網格數(單位:平方公里)																																																																																																																																																																		
b12	分布範圍	3年分布範圍採用資料來源(文字說明)																																																																																																																																																																		
b13	分布範圍	3年分布資料倉儲位置(URL)																																																																																																																																																																		
b14	分布範圍	3年分布範圍補充說明(文字)																																																																																																																																																																		
b15	族群間隔離程度	觀察所見亞族群數(Number of locations  or subpopulations)(單位:個)(亞族群數界定: 地理、生態區隔離，特別考慮大災難威脅涵蓋範圍。單一大災難影響所及可能是數個亞族群或單一亞族群。閥值: 1, 5, 10																																																																																																																																																																		
	族群間隔離程度	族群是否屬不連續分布Y(yes)/N(no)	N	N		N	N	N																																																																																																																																																												
b16	族群間隔離程度	族群不連續分布情形說明(文字)	台灣本島低海拔森林連續分布，但100年單一大災難應僅影響一小部分。離島無繁殖紀錄。	台灣本島中低海拔森林連續分布。		台灣本島中低海拔森林連續分布	台灣本島中低海拔森林連續分布	台灣本島中低海拔森林連續分布																																																																																																																																																				雖棲息於高山，但由於善於飛行，仍視為連續族群。	雖棲息於高山，但由於善於飛行，仍視為連續族群。							
b17	持續下降	過往10年分布範圍是否持續下降。AOO或EOO皆可，採嚴重者，除非資料嚴重不足。A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 擴大(>+10%)	A	B		B	B	B	B		B	B											C				C								C																									B	B		C																															A	A										A	A																																	A	A		B						B				A					A	B	B	A	B	B	B	A
b18	持續下降	分布範圍變化依據: A. OAOO, B. OEOO, C. PEOO, D. IEOO(只填代碼)	D	D		D	D	D	D		D	D											D				D								A																									D	D		D																															D	D										D	D																																	D	D		D						D				D					D	D	D	D	D	D	D	A
b19	持續下降	過往10年分布範圍變化是A. 與前期比較結果, B. 專家推測	B	B		B	B	B	B		B	B											B				B								A																									B	B		B																															B	B										B	B																																	B	B		B						B				B					B	B	B	A	B	B	B	B
b20	持續下降	未來10-50年分布範圍下降程度。A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 擴大(>+10%)	A			B			A	A																																																																															C					A	A						B				A	A								A													B										A		A	A												A				A	A							A
b21	持續下降	未來分布範圍判斷依據: A. 模式預測, B. 專家推測(只填代碼)	B			B			B	B																																																																															B					B	B						B				B	B								B																							B		B	B												B				B	B							B
b22	持續下降	分布範圍變化補充說明(文字)	主要棲地在台灣預期不會有明顯改變，但不確定氣候變遷影響。但度冬或過境棲地可能已經面臨一定程度的減少。	主要棲地預期不會有明顯改變，但不確定氣候變遷影響		依據過往10年及未來10年台灣森林開發壓力狀態推測。			依據過往10年台灣森林狀態推測，未來可能受到氣候變遷影響	由於雜交和棲地開發的情形預期會持續發生，故分布範圍會持續縮減。	沒有明顯變化的證據	沒有明顯變化的證據											由紀錄顯示，至少台灣本島度冬及過境分布在擴增(eBird 2012)。				近20年繁殖族群數量快速增加，故實際分布範圍擴大。								依據翁義聰(2008)整理及目前所知的分布地點的比較(eBird 2015)。																												近20年分布明顯向平原地帶擴張。																										易受暖化影響物種，依據丁宗蘇(2012)族群量下降、海拔分布上升。					易受暖化影響物種，依據丁宗蘇(2012)族群量下降、海拔分布上升。	八八風災導致高屏溪流域及南部山區大量崩塌，可能大幅影響該地區棲地。預期類似災難事件機率提升。						長期可能受暖化影響。				依據丁宗蘇(2012)海拔分布有向上趨勢	依據丁宗蘇(2012)海拔分布有向上趨勢，懷疑未來情況會加劇。								依據丁宗蘇(2012)研究，雖因資料稀少，過往未見明顯的海拔上升趨勢，但推測可能受影響。													分布於高海拔，屬暖化易受害鳥種。										預期因氣候變遷影響，氣候災難及變動幅度加劇影響棲地面積穩定性。		依據丁宗蘇等(2012)研究，與白眉林鴝狀況類似的栗背林鴝海拔分布有上升的趨勢，白眉林鴝由於生息特性，不容易觀察，但懷疑與栗背林鴝有類似的趨勢。	依據丁宗蘇等(2012)研究海拔分布有上升的趨勢。						資訊不足	近10年族群雖不多，但至少北部族群尚稱穩定。	金門近10年皆普遍。				僅分布及高海拔裸露地，極易受暖化影響。				分布於高海拔，屬於易受氣候暖化影響物種。	依據丁宗蘇(2012)研究，海拔分布有向上提升趨勢。	沒有分布範圍縮小的證據。	沒有分布範圍縮小的證據。	由以往谷關、武陵、霧社地區、拉拉山及近期霧台族群消失或分布改變推測(溫唯佳、蔡若詩 2015)。	沒有明顯下降證據	沒有明顯下降證據	沒有明顯下降證據	由於雜交趨勢沒有明顯終止，推測分布範圍將持續下降。
b23	持續下降	觀察過往10年亞族群數下降趨勢。A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 擴張(>+10%)		B																																																																																																																																																												A				
b24	持續下降	專家推估未來10-50年亞族群數下降趨勢，A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 擴張(>+10%)		B																																																																																																																																																																
b25	持續下降	亞族群數趨勢說明(文字)		連續分布		連續分布	連續分布																																																																																																																																																					雖棲息於高山，但由於善於飛行，仍視為連續族群。				由以往谷關、武陵、霧社地區、拉拉山及近期霧台族群消失或分布改變推測(溫唯佳、蔡若詩 2015)。				
b26	持續下降	過往10年或更長時間"成熟個體總數"持續下降程度。A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 上升(>+10%)	A	A	A	B	C	B	B		B																C			C		A		C	C		B		C	B	B	B		B	B			B		A			B				B			C		B	B	A			A	B			B	B	B	C		A	B	B		C	A	B		B	C	B			B	A	B	B	A			B	B	B	C		B	B	A	A	B	B	B	C	A	A	B	B	A		A	B		B	C	B	B	B		A		C	B	B	B	B	B		A	A	B			B		B		B	A				A	B		B	A					A					A	B	B	A
b27	持續下降	往後10年或3代(不超過100年)預測或推估"成熟個體個體總數"衰減趨勢。A. 下降(>-10%)， B. 穩定(-10-+10%)，C. 擴大(>+10%)								A																	B																																																																																																	C																																								A
b28	持續下降	"成熟個體總數"趨勢補充說明(文字)	依據如前，2001-2013台灣島族群監測結果(林瑞興 2014)。	依據 BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)顯示下降43%。	依據陳炳煌、顏重威(1975)之調查，本種在台灣屬稀有-不普遍，故懷疑其1970年代數量就不多，但不至於非常稀有，雖然下降程度不明，但長期而言族群減少應是確定的。	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	依據過往棲地狀態、受威脅因素變化及觀察紀錄分布，推測族群至少維持穩定。	依據過往棲地狀態、受威脅因素變化及觀察紀錄分布，推測族群至少維持穩定。	由於雜交和棲地開發的情形預期會持續發生，預期族群數量會持續下降。	沒有明顯變化的證據																近20年繁殖族群數量快速增加，但由短期趨勢來看，近年增加速度已趨緩或穩定。			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		整個分布範圍的族群趨勢下降(BirdLife International 2015)。		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	依據2004-2015年族群監測資料，整體族群數約由200上升至800(翁義聰 2008，台南市水雉生態教育園區 2015 冬季普查)。		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)				BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			依據袁孝維(2015)調查結果。		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	依據BirdIfe International (2015)顯示於其整體範圍呈現明顯下降的趨勢，故懷疑金門可能有類似的情形。當地觀察者也認為有減少的趨勢。	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)並無明顯變化，但其結果並未能區分台灣、大陸或雜交畫眉。根據Li et al. (2010) 發表不確定年代捕捉69隻個體，約有20%屬雜交個體；但陳志峰等2013調查由外型判斷至少40%屬中國或雜交個體，顯示雜交情形非常嚴重。		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)			BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)		BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	依據2009-2013 BBS Taiwan 資料，記錄到的樣區比例由約8-9%下降至3%。			資訊不足	依據中華鳥會資料庫分析，1995年之後明顯下降，近期趨穩定(黃正宇 2012、王麗婷 2013)。	近10年無明顯下降證據。		柯智仁分析 2009-2014 BBS Taiwan，族群未有明顯的下降趨勢(柯智仁 私人通訊)。	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)。					BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)					資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	由於雜交趨勢沒有明顯終止，推測參與繁殖個體數將持續下降。
b29	嚴重變動	過往10年分布面積非呈連續下降，且最大與最低值差異超過10倍。Y(yes)/N(no)	N	N		N	N	N	N		N																																																																																																																																																						N	N	N	
b30	嚴重變動	依據: A. OAOO, B. OEOO, C. PEOO, D. IEOO(只填代碼)	B	D		D	D	D	D		D																																																																																																																																																						D	D	D	
b31	嚴重變動	來源: A. 與前期比較結果, B. 專家推測	A	B		B	B	B	B		B																																																																																																																																																						B	B	B	
b32	嚴重變動	分布範圍變動補充說明(文字)	依據2001-2013八色鳥調查分布結果，雖然數量下降，但範圍未有明顯改變(林瑞興 2014)。			沒有明顯變動的現象	沒有明顯變動的現象	沒有明顯變動的證據	沒有明顯變動的證據		沒有明顯變動的證據																																																																																																																																																						沒有明顯證據	沒有明顯證據	沒有明顯證據	
b33	嚴重變動	觀察過往10年亞族群數變動超過10倍。Y(yes)/N(no)	N	N																																																																																																																																																																
b34	嚴重變動	亞族群數變動說明(文字)	連續分布	連續分布																																																																																																																																																																
b35	嚴重變動	過往10年參與繁殖個體數非呈連續下降，且最大與最低值差異超過10倍。Y(yes)/N(no)	N	N		N	N	N	N		N																																																																																																																																							Y															N	N	N	
b36	嚴重變動	數據來源，A:直接觀察、B.估計、C.推測、D.懷疑	B	C		B	B	C	C		C																																																																																																																																							C															B	B	B	
b37	嚴重變動	參與繁殖個體數變動說明(文字)	生殖族群呈現連續下降(林瑞興 2014)。				過往族群趨勢有上升趨勢	依據過往棲地狀態、受威脅因素變化及觀察紀錄分布，推測族群至少維持穩定。	依據過往棲地狀態、受威脅因素變化及觀察紀錄分布，推測族群至少維持穩定。		沒有明顯變動的證據																																																																																																																																							由部分地點觀測結果發現多年會出現1次大量(蘇美如 2015)。															資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	資料來源: BBS Taiwan 2009-2013年監測結果(柯智仁等 2015)	
cd1	族群現狀	評估當時3年內族群數目(Population size); 閥值: 50, 250, 1000, 2500, 10000。單位:成熟個體數	8000							400						1000				1000	300					150						25			600														75		800	2000						60	40	3660	200					300			400						3500						200																			35000																	17500						400									500				350							5000	10000	250			25000	150				50000				20000	200	300	500	1138914	741688	1318943	1500
cd2	族群現狀	評估當時3年內族群數目(Population size)最大值	12000							500						2000				2000	1000					250						50			750														100		1500	3000						80	60	4000	300					450			600						4800						250																			50000																	25000						500									1000				500							10000	30000	400			50000	300				300000				50000	300	600	1000	1385513	907818	1599738	2500
cd3	族群現狀	評估當時3年內族群數目(Population size)最小值	6000							250			10001	10001	10001	500	10001	10001	10001	500	200	10001		2501	10001	50		10001	2500		2500	10			450														50		500	1000						50	30	3000	100					250			250						2500						100																			20000																	10000						250									250				250							2500	5000	150			10000	50				10000				10000	100	200	250	927195	597540	1074570	500
cd4	族群現狀	數據來源，A:直接觀察、B.估計、C.推測、D.懷疑	B							C			D	D	D	D	D	D	D	D	D	D		D	D	D		D	D		D	D			B														D		D	D						C	C	A	D					D			C						C						D																			D																	D						D									D				D							D	D	D			D	D				D				D	D	D	B	B	B	B	D
cd5	族群現狀	族群數現況說明(文字)	依據林瑞興(2010)估算的結果。			羅宏仁(2000)曾以回播法推測玉山國家公園範圍內之族群量在2600-7200隻。羅宏仁2004年又估計台灣島族群量約4860隻(方偉宏 2004)。		1980年代，玉山國家公園範圍估計族群量在3600-6500隻間，全台樂觀推估126000-224000隻(謝孝同、劉小如 1987)。1995年估計全台族群數在40000-86000隻(羅宏仁 1995)，2004估計31500-56000隻(方偉宏 2004)。	1980年代，玉山國家公園範圍估計族群量在5600-10000隻間(謝孝同、劉小如 1987)。另1998年喬亞玲估計玉山國家公園族群數量應在10000隻以上。	參考方偉宏(2005)，並以陳美惠(2004)研究以台灣原生亞種族群量推測之。			依據族群分布(eBird 2012)及劉小如等(2012)，推測台灣繁殖族群量>10000。不確定度冬及過境族群量。	依據族群分布(eBird 2012)及劉小如等(2012)，推測台灣繁殖族群量>10000。不確定度冬及過境族群量。	2015臺灣新年數鳥嘉年華發現5036隻，為最普遍的路科鳥種之一(林大利等 2015)，另依據族群分布(eBird 2012)推測台灣度冬族群量>10000。	繁殖、過境及度冬合計，依據eBird(2012)近3年紀錄狀況推測。	2015臺灣新年數鳥嘉年華發現3762隻，為最普遍的路科鳥種之一(林大利等 2015)，另依據族群分布(eBird 2012)推測台灣度冬族群量>10000。	雖然2015臺灣新年數鳥嘉年華僅發現261隻(林大利等 2015)，但依據族群分布(eBird 2012)推測台灣度冬族群量>10000，另夏季數量亦不少。	2015臺灣新年數鳥嘉年華發現7111隻，為台灣最普遍的鷺科鳥種(林大利等 2015)，另依據族群分布(eBird 2012)推測台灣度冬族群量>10000。	2015臺灣新年數鳥嘉年華發現76隻(林大利等 2015)，另依據族群分布(eBird 2012)推測台灣度冬族群量>500。	主要為過境，數量由近年紀錄(eBird 2012)懷疑應該200-1000之間。	由於分布廣泛且數量普遍，故最小數量>10000		雖然不普遍，但分布廣泛(eBird 2012)，懷疑最小數量>2500	由於分布廣泛且數量普遍，故最小數量>10000			由於廣泛分布於低海拔森林，以每平方公里1隻成熟個體保守估計，台灣繁殖族群量>10000。	由棲地分布及記錄情形(eBird 2012)，懷疑數量應>2500。		由棲地分布及記錄情形(eBird 2012)，懷疑數量應>2500。	由記錄情形(eBird 2012)懷疑數量應<50。			依據台南市水雉生態教育園區2015夏季普查，加計高雄、嘉義、花蓮等族群估計量。														依據eBird(2012)紀錄分布狀況及訪問陳映嵐粗略估計。		依據eBird(2012)紀錄分布狀況及訪問林暐倫、吳建龍粗略估計。	依據eBird(2012)紀錄分布狀況及訪問林暐倫、吳建龍粗略估計。						由陳映嵐、林暐倫提供觀察資料推測。	由陳映嵐、林暐倫提供觀察資料推測。	依據2015年全金門營巢地普查結果(袁孝維 2015)。	許育誠(2006)於金門40個村落發現32對。另諮詢林暐倫、陳映嵐(20151211)。					依據劉小如等(2012)及eBird(2012)紀錄狀況懷疑數量250-450。			依據社團法人高雄市野鳥學會(2013)推估為430隻，故繁殖族群下限應在250隻以上。						依據劉小如、白梅玲(2010)估計蘭嶼約有2200-2400領域，以每領域2隻估計。4800為上限。以2500為保守估計下限值。						參考eBird (2012)紀錄及鳥友訪問懷疑成體數量在150-250間。																			依據林瑞興觀察經驗，每百公頃以40-100隻估計。占據50公頃。																	依據林瑞興觀察經驗，以占據面積50平方公里，每平方公里(百公頃)公里200-500隻估計。						依據eBird(2012)金門紀錄情形粗略估計。									由eBird(2012)紀錄情形懷疑繁殖族群量再250-1000之間。				依據eBird(2012)觀察資料，懷疑數量250-500。							依據eBird (2015) 2013-2015 6-9月紀錄分布，懷疑繁殖數量在2500-10000。	依據eBird (2015) 2013-2015 12-2紀錄分布，配合NYBC 2014-15 數鳥紀錄都有100隻左右，懷疑度冬數量應在5000-30000。	諮詢林暐倫(20151211)。			依據NYBC Taiwan 2015 調查金門記錄2512隻(林大利等 2015)，由於僅是抽樣結果，估計最低數量應在10000以上。	諮詢吳建龍、林暐倫粗略估計。				由於調查資料無法適當區別亞種，但由繁殖期間廣泛零散分布狀況懷疑數量至少10000以上。				高海拔廣泛分布，由棲地面積約3000平方公里保守估計族群數量。	參考eBird金門、馬祖6-7月觀察資料粗估(eBird 2012)。諮詢吳建龍、林暐倫金門數量。	參考eBird金門、馬祖6-7月觀察資料粗估(eBird 2012)。諮詢吳建龍、林暐倫金門數量。	參考eBird 分布資料與最大量資訊(eBird 2012; 溫唯佳、蔡若詩 2015)。	由BBS資料估計。	由BBS資料估計。	由BBS資料估計。	由於雜交壓力不明，有必要評估台灣亞種狀況，但由目前證據推測台灣亞種數量應在2500以下。
cd6	族群現狀	最大亞族群的族群數量(Size of largest subpopulation)																																																																									3500																																																																																									
cd7	族群現狀	數據來源，A:直接觀察、B.估計、C.推測、D.懷疑																																																																									C																																																																																									
cd8	族群現狀	最大亞生殖族群數量現況說明(文字)																																																																									僅繁殖於蘭嶼。																																																																																									
e1	滅絕機率	未來50年野外滅絕機率估計(例如，以PVA計算)(Probability of extinction in the wild)(數值，0-1間)																																																																																																																																																																		
rc1	地區校正依據	IUCN 2015 RL 等級(填寫代碼, 1. CR, 2. EN, 3. VU, 4. NT, 5. LC)； NA=未評估或無資料	3	5	5	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	2	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	5	NA	5	5	4	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5		5	5	5	NA	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	5	5	5	5	5	5	5
rc2	地區校正依據	族群型態(A. 繁殖, B. 訪問族群或兩者都有, C. 只有過境族群)	B	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	C	B	B	B	B	B	B	A	A	B	B	B	C	B	B	A	B	B	A	A	A	A	A	A	A	A	B	B	B	B	B	A	A	A	B	A	B	A	A	B	B	A	A	A	A	A	A	A	A	C	A	A	A	A	B	A	A	A	A	A	A	B	B	B	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A		A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	B	B	B	B	A	A	A	B	A	A	A	B	B	A	A	A	B	B	A	A	A	A	A
rc3	地區校正依據	種層級--地區族群在全球族群所占有之比例(A. <1%, B <5%, C. <20%, D. <70, E. >70%)。評估分類階層為特定亞種時，亦請評估就種層級的資料。	D	C	A	E	E	E	E	A	B	B	C	C	A	A	A	A	B	A	C	A	A	A	A	C	D	C	B	B	B	A	A	B	A	A	B	B	C	B	B	B	A	B	C	D	A	A	A	B	A	A	B	B	A	B	B	A	A	B	A	E	B	A	A	A	A	B	A	A	B	B	B	B	B	A	E	C	A	A	B	B	B	A	B	B	B	E	A	C	E	B	A	A	B	B	E	C	C	A	E	E	B	B	C	E	A		A	B	B	E	B	B	E	C	B	B	E	E	D	E	A	E	E	E	E	E	E	E	C	A	D	C	E	A	B	C	B	E	B	C	A	A	A	B	A	B	A	C	C	B	A	A	C	C	E	A	A	A	A	C	C	A
rc4	地區校正依據	亞種(及其他種以下)層級--地區族群在全球族群所占有之比例(A. <1%, B <5%, C. <20%, D. <70, E. >70%)								E																		E	E								E			E						E	C							E		E								E							E	E	E	E	C	E		E	E										E	E				E		E		E	E	E					E				E		E		E				E	E															E	E			E	E	E		E	E				E	E			E	E	E	C		E	E								C
	地區校正依據	建議調升或調降級數(範例: 1 表示受威脅層度降1級(downlisted)，-1表示受威脅層度升1級(uplisted)													1	1	1	1	1	1	1	1	1	1	1	1	1				1	1	1	1	1			1											2		2	2						2	2	2	2																																																														2													2								1	2			2	2								0	2	2					
